"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5"
"1","1",54926535,54926736,202,"Pool2_androgen_vs_vehicle_cond2_1","ENSG00000233203","Pool2_androgen_vs_vehicle_cond2_1 ENSG00000233203","+",54887563,54888850,"downstream",38972,37685,"NearestStart","RP11-67L3.4","1",54926535,54926736,6.93386
"2","1",112881308,112881528,221,"Pool2_androgen_vs_vehicle_cond2_2","ENSG00000228040","Pool2_androgen_vs_vehicle_cond2_2 ENSG00000228040","-",112890767,112890922,"downstream",9614,9239,"NearestStart","RP3-522D1.2","1",112881308,112881528,15.57617
"3","10",44765442,44765854,413,"Pool2_androgen_vs_vehicle_cond2_3","ENSG00000227395","Pool2_androgen_vs_vehicle_cond2_3 ENSG00000227395","+",44806443,44808223,"upstream",-41001,40589,"NearestStart","EIF2AP4","10",44765442,44765854,4.26755
"4","10",130360223,130360623,401,"Pool2_androgen_vs_vehicle_cond2_4","ENSG00000276375","Pool2_androgen_vs_vehicle_cond2_4 ENSG00000276375","-",130282445,130286604,"upstream",-73619,73619,"NearestStart","RP11-339B9.1","10",130360223,130360623,7.67976
"5","11",11246681,11246963,283,"Pool2_androgen_vs_vehicle_cond2_5","ENSG00000255260","Pool2_androgen_vs_vehicle_cond2_5 ENSG00000255260","-",11243188,11243715,"upstream",-2966,2966,"NearestStart","CTD-3224I3.3","11",11246681,11246963,8.7384
"6","12",127568439,127568891,453,"Pool2_androgen_vs_vehicle_cond2_6","ENSG00000255945","Pool2_androgen_vs_vehicle_cond2_6 ENSG00000255945","+",127598168,127599715,"upstream",-29729,29277,"NearestStart","RP11-351O2.1","12",127568439,127568891,6.87076
"7","14",59417152,59417363,212,"Pool2_androgen_vs_vehicle_cond2_7","ENSG00000252869","Pool2_androgen_vs_vehicle_cond2_7 ENSG00000252869","+",59400023,59400151,"downstream",17129,17001,"NearestStart","AL159140.1","14",59417152,59417363,6.92703
"8","14",76564664,76564915,252,"Pool2_androgen_vs_vehicle_cond2_8","ENSG00000271423","Pool2_androgen_vs_vehicle_cond2_8 ENSG00000271423","+",76633714,76634028,"upstream",-69050,68799,"NearestStart","CYCSP1","14",76564664,76564915,8.66617
"9","14",77269631,77269841,211,"Pool2_androgen_vs_vehicle_cond2_9","ENSG00000165553","Pool2_androgen_vs_vehicle_cond2_9 ENSG00000165553","-",77265483,77271312,"inside",1681,1471,"NearestStart","NGB","14",77269631,77269841,6.81413
"10","18",63331176,63331418,243,"Pool2_androgen_vs_vehicle_cond2_10","ENSG00000171791","Pool2_androgen_vs_vehicle_cond2_10 ENSG00000171791","-",63123346,63320128,"upstream",-11048,11048,"NearestStart","BCL2","18",63331176,63331418,6.19705
"11","2",88181252,88181593,342,"Pool2_androgen_vs_vehicle_cond2_11","ENSG00000144115","Pool2_androgen_vs_vehicle_cond2_11 ENSG00000144115","+",88170295,88186636,"inside",10957,5043,"NearestStart","THNSL2","2",88181252,88181593,15.37709
"12","22",45730578,45730784,207,"Pool2_androgen_vs_vehicle_cond2_12","ENSG00000264160","Pool2_androgen_vs_vehicle_cond2_12 ENSG00000264160","+",45760524,45760598,"upstream",-29946,29740,"NearestStart","MIR4762","22",45730578,45730784,14.27088
"13","5",11816755,11817325,571,"Pool2_androgen_vs_vehicle_cond2_13","ENSG00000169862","Pool2_androgen_vs_vehicle_cond2_13 ENSG00000169862","-",10971840,11904043,"inside",87288,86718,"NearestStart","CTNND2","5",11816755,11817325,11.18713
"14","5",110620521,110620743,223,"Pool2_androgen_vs_vehicle_cond2_14","ENSG00000207177","Pool2_androgen_vs_vehicle_cond2_14 ENSG00000207177","-",110684794,110684927,"downstream",64406,64051,"NearestStart","SNORA51","5",110620521,110620743,6.99531
"15","7",157461221,157461498,278,"Pool2_androgen_vs_vehicle_cond2_15","ENSG00000234210","Pool2_androgen_vs_vehicle_cond2_15 ENSG00000234210","+",157466231,157499716,"upstream",-5010,4733,"NearestStart","AC006372.4","7",157461221,157461498,6.69256
"16","X",118053704,118053941,238,"Pool2_androgen_vs_vehicle_cond2_16","ENSG00000239500","Pool2_androgen_vs_vehicle_cond2_16 ENSG00000239500","-",118116179,118116800,"downstream",63096,62238,"NearestStart","RP1-169K13.3","X",118053704,118053941,8.65354
