"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5"
"1","11",11246800,11246801,2,"Sample8_046_Pool1_peak_2","ENSG00000255260","Sample8_046_Pool1_peak_2 ENSG00000255260","-",11243188,11243715,"upstream",-3085,3085,"NearestStart","CTD-3224I3.3","11",11246800,11246801,5.30505
"2","11",116130936,116130937,2,"Sample8_046_Pool1_peak_3","ENSG00000239600","Sample8_046_Pool1_peak_3 ENSG00000239600","-",115951105,115951491,"upstream",-179445,179445,"NearestStart","AP000797.2","11",116130936,116130937,10.29014
"3","15",85896995,85896996,2,"Sample8_046_Pool1_peak_4","ENSG00000259608","Sample8_046_Pool1_peak_4 ENSG00000259608","-",85958717,85958971,"downstream",61976,61721,"NearestStart","RP11-23A22.1","15",85896995,85896996,8.37357
"4","2",1221871,1221872,2,"Sample8_046_Pool1_peak_5","ENSG00000236665","Sample8_046_Pool1_peak_5 ENSG00000236665","-",1158310,1160424,"upstream",-61447,61447,"NearestStart","AC114808.2","2",1221871,1221872,5.21363
"5","21",38743257,38743258,2,"Sample8_046_Pool1_peak_6","ENSG00000223806","Sample8_046_Pool1_peak_6 ENSG00000223806","-",38739021,38747460,"inside",4203,4202,"NearestStart","LINC00114","21",38743257,38743258,6.46547
"6","3",93470671,93470672,2,"Sample8_046_Pool1_peak_7","ENSG00000251727","Sample8_046_Pool1_peak_7 ENSG00000251727","+",93843764,93843862,"upstream",-373093,373092,"NearestStart","RNU6-488P","3",93470671,93470672,19.60856
"7","4",49710736,49710737,2,"Sample8_046_Pool1_peak_8","ENSG00000223099","Sample8_046_Pool1_peak_8 ENSG00000223099","-",49599428,49599509,"upstream",-111227,111227,"NearestStart","AC119751.4","4",49710736,49710737,3.83932
"8","4",49711643,49711644,2,"Sample8_046_Pool1_peak_9","ENSG00000223099","Sample8_046_Pool1_peak_9 ENSG00000223099","-",49599428,49599509,"upstream",-112134,112134,"NearestStart","AC119751.4","4",49711643,49711644,6.1358
"9","5",11817081,11817082,2,"Sample8_046_Pool1_peak_10","ENSG00000169862","Sample8_046_Pool1_peak_10 ENSG00000169862","-",10971840,11904043,"inside",86962,86961,"NearestStart","CTNND2","5",11817081,11817082,8.72808
"10","7",157461410,157461411,2,"Sample8_046_Pool1_peak_11","ENSG00000234210","Sample8_046_Pool1_peak_11 ENSG00000234210","+",157466231,157499716,"upstream",-4821,4820,"NearestStart","AC006372.4","7",157461410,157461411,10.85159
"11","KI270333.1",1644,1645,2,"Sample8_046_Pool1_peak_12",NA,"Sample8_046_Pool1_peak_12 NA","+",NA,NA,NA,NA,NA,"NearestStart",NA,"KI270333.1",1644,1645,16.65437
"12","KI270466.1",1016,1017,2,"Sample8_046_Pool1_peak_13",NA,"Sample8_046_Pool1_peak_13 NA","+",NA,NA,NA,NA,NA,"NearestStart",NA,"KI270466.1",1016,1017,16.13542
"13","KI270467.1",2060,2061,2,"Sample8_046_Pool1_peak_14",NA,"Sample8_046_Pool1_peak_14 NA","+",NA,NA,NA,NA,NA,"NearestStart",NA,"KI270467.1",2060,2061,9.51676
"14","KI270467.1",2361,2362,2,"Sample8_046_Pool1_peak_15",NA,"Sample8_046_Pool1_peak_15 NA","+",NA,NA,NA,NA,NA,"NearestStart",NA,"KI270467.1",2361,2362,16.15777
"15","KI270467.1",2678,2679,2,"Sample8_046_Pool1_peak_16",NA,"Sample8_046_Pool1_peak_16 NA","+",NA,NA,NA,NA,NA,"NearestStart",NA,"KI270467.1",2678,2679,8.65722
